event_time,network,network_region,price_aud_mwh,demand_mw
2026-05-02T18:45:00Z,NEM,NSW1,57.51,6094.6
2026-05-02T18:45:00Z,NEM,QLD1,52.18,5532.79
2026-05-02T18:45:00Z,NEM,SA1,-3.0,1309.8
2026-05-02T18:45:00Z,NEM,TAS1,71.93,922.56
2026-05-02T18:45:00Z,NEM,VIC1,-2.97,3635.49
2026-05-02T18:50:00Z,NEM,NSW1,44.12,6016.2
2026-05-02T18:50:00Z,NEM,QLD1,39.75,5513.92
2026-05-02T18:50:00Z,NEM,SA1,-2.01,1296.84
2026-05-02T18:50:00Z,NEM,TAS1,72.88,932.73
2026-05-02T18:50:00Z,NEM,VIC1,-2.05,3726.59
2026-05-02T18:55:00Z,NEM,NSW1,56.06,6123.79
2026-05-02T18:55:00Z,NEM,QLD1,50.53,5509.98
2026-05-02T18:55:00Z,NEM,SA1,-1.1,1306.1
2026-05-02T18:55:00Z,NEM,TAS1,73.84,932.84
2026-05-02T18:55:00Z,NEM,VIC1,-1.12,3725.23
2026-05-02T19:00:00Z,NEM,NSW1,56.79,6170.55
2026-05-02T19:00:00Z,NEM,QLD1,51.2,5510.93
2026-05-02T19:00:00Z,NEM,SA1,-2.25,1318.05
2026-05-02T19:00:00Z,NEM,TAS1,84.66,935.09
2026-05-02T19:00:00Z,NEM,VIC1,-2.26,3688.14
2026-05-02T19:05:00Z,NEM,NSW1,56.06,6150.28
2026-05-02T19:05:00Z,NEM,QLD1,51.2,5536.67
2026-05-02T19:05:00Z,NEM,SA1,-1.05,1307.38
2026-05-02T19:05:00Z,NEM,TAS1,73.88,923.38
2026-05-02T19:05:00Z,NEM,VIC1,-1.08,3780.59
2026-05-02T19:10:00Z,NEM,NSW1,56.06,6086.44
2026-05-02T19:10:00Z,NEM,QLD1,51.2,5525.84
2026-05-02T19:10:00Z,NEM,SA1,-2.01,1306.18
2026-05-02T19:10:00Z,NEM,TAS1,84.85,929.52
2026-05-02T19:10:00Z,NEM,VIC1,-2.08,3723.57
2026-05-02T19:15:00Z,NEM,NSW1,56.06,6121.09
2026-05-02T19:15:00Z,NEM,QLD1,50.83,5494.63
2026-05-02T19:15:00Z,NEM,SA1,-3.0,1298.64
2026-05-02T19:15:00Z,NEM,TAS1,71.74,927.06
2026-05-02T19:15:00Z,NEM,VIC1,-3.15,3774.44
2026-05-02T19:20:00Z,NEM,NSW1,56.41,6178.74
2026-05-02T19:20:00Z,NEM,QLD1,51.2,5541.47
2026-05-02T19:20:00Z,NEM,SA1,-3.0,1303.28
2026-05-02T19:20:00Z,NEM,TAS1,71.86,922.83
2026-05-02T19:20:00Z,NEM,VIC1,-3.04,3709.8
2026-05-02T19:25:00Z,NEM,NSW1,56.06,6069.33
2026-05-02T19:25:00Z,NEM,QLD1,51.2,5604.34
2026-05-02T19:25:00Z,NEM,SA1,-3.0,1311.76
2026-05-02T19:25:00Z,NEM,TAS1,71.93,919.01
2026-05-02T19:25:00Z,NEM,VIC1,-2.97,3700.92
2026-05-02T19:30:00Z,NEM,NSW1,56.06,6119.27
2026-05-02T19:30:00Z,NEM,QLD1,51.2,5602.22
2026-05-02T19:30:00Z,NEM,SA1,-3.0,1308.35
2026-05-02T19:30:00Z,NEM,TAS1,71.87,914.48
2026-05-02T19:30:00Z,NEM,VIC1,-3.03,3790.8
2026-05-02T19:35:00Z,NEM,NSW1,56.03,6203.44
2026-05-02T19:35:00Z,NEM,QLD1,51.19,5537.44
2026-05-02T19:35:00Z,NEM,SA1,-2.01,1300.16
2026-05-02T19:35:00Z,NEM,TAS1,72.91,904.27
2026-05-02T19:35:00Z,NEM,VIC1,-2.03,3776.39
2026-05-02T19:40:00Z,NEM,NSW1,56.03,6199.36
2026-05-02T19:40:00Z,NEM,QLD1,51.2,5607.93
2026-05-02T19:40:00Z,NEM,SA1,-2.01,1279.75
2026-05-02T19:40:00Z,NEM,TAS1,72.94,904.22
2026-05-02T19:40:00Z,NEM,VIC1,-2.0,3715.51
2026-05-02T19:45:00Z,NEM,NSW1,57.51,6269.77
2026-05-02T19:45:00Z,NEM,QLD1,51.97,5628.24
2026-05-02T19:45:00Z,NEM,SA1,-3.0,1277.38
2026-05-02T19:45:00Z,NEM,TAS1,71.19,913.2
2026-05-02T19:45:00Z,NEM,VIC1,-3.01,3739.97
2026-05-02T19:50:00Z,NEM,NSW1,56.64,6242.07
2026-05-02T19:50:00Z,NEM,QLD1,51.2,5604.07
2026-05-02T19:50:00Z,NEM,SA1,-2.01,1282.67
2026-05-02T19:50:00Z,NEM,TAS1,72.89,915.15
2026-05-02T19:50:00Z,NEM,VIC1,-2.04,3752.88
